iter	Passed	Remaining
0	268	40003
1	505	37426
2	739	36211
3	986	35992
4	1218	35339
5	1463	35120
6	1693	34593
7	1931	34292
8	2155	33762
9	2385	33397
10	2611	33001
11	2847	32743
12	3070	32359
13	3304	32096
14	3536	31832
15	3759	31485
16	4003	31319
17	4221	30954
18	4441	30621
19	4680	30423
20	4925	30255
21	5172	30091
22	5396	29798
23	5634	29582
24	5855	29278
25	6051	28863
26	6258	28509
27	6477	28223
28	6681	27877
29	6869	27476
30	7062	27111
31	7271	26813
32	7461	26454
33	7699	26268
34	7932	26064
35	8179	25901
36	8411	25687
37	8623	25417
38	8845	25176
39	9062	24921
40	9295	24712
41	9488	24399
42	9701	24139
43	9874	23787
44	10089	23543
45	10301	23289
46	10535	23088
47	10773	22893
48	11003	22680
49	11225	22450
50	11431	22190
51	11653	21962
52	11894	21768
53	12084	21483
54	12295	21237
55	12520	21017
56	12733	20775
57	12929	20508
58	13149	20281
59	13346	20020
60	13558	19782
61	13762	19534
62	14042	19392
63	14288	19199
64	14478	18932
65	14685	18690
66	14898	18455
67	15087	18193
68	15258	17911
69	15489	17702
70	15713	17483
71	15925	17252
72	16142	17026
73	16352	16794
74	16544	16544
75	16750	16309
76	16963	16082
77	17141	15822
78	17346	15589
79	17536	15344
80	17719	15093
81	17928	14867
82	18168	14666
83	18407	14462
84	18642	14255
85	18834	14016
86	19026	13777
87	19221	13542
88	19409	13303
89	19617	13078
90	19812	12845
91	20036	12631
92	20227	12397
93	20447	12181
94	20618	11937
95	20844	11725
96	21030	11491
97	21215	11257
98	21445	11047
99	21646	10823
100	21829	10590
101	22030	10367
102	22255	10155
103	22469	9938
104	22680	9720
105	22860	9489
106	23055	9265
107	23275	9051
108	23457	8823
109	23676	8609
110	23861	8383
111	24062	8163
112	24232	7934
113	24474	7728
114	24657	7504
115	24869	7289
116	25069	7070
117	25264	6851
118	25519	6647
119	25727	6431
120	25953	6220
121	26236	6021
122	26484	5813
123	26735	5605
124	26982	5396
125	27194	5179
126	27419	4965
127	27646	4751
128	27871	4537
129	28105	4323
130	28339	4110
131	28543	3892
132	28733	3672
133	28972	3459
134	29238	3248
135	29451	3031
136	29687	2817
137	29919	2601
138	30152	2386
139	30370	2169
140	30579	1951
141	30834	1737
142	31033	1519
143	31256	1302
144	31458	1084
145	31683	868
146	31870	650
147	32101	433
148	32320	216
149	32507	0
